518	1	Ростуризм: На упавшем в Египте воздушном шаре россиян не было.	На разбившемся в Египте воздушном шаре не было россиян.	539
5047	1	Заминированный автомобиль взорвался у консульства США в Ираке	У консульства США в Ираке взорвался заминированный автомобиль	6356
2813	0	Мосгордума определилась с днем выборов мэра столицы.	Мосгордума назначила выборы мэра.	2369
4258	1	Андрей Кириленко пропустит три матча НБА из-за проблем со спиной.	Андрей Кириленко из-за проблем со спиной пропустит три матча чемпионата НБА.	4604
1600	0	Самолет врезался в ангар на авиашоу в Мадриде.	На авиашоу в Мадриде потерпел крушение самолет.	1696
3215	0	Кран оставил без света десятки домов на северо-востоке Москвы.	На северо-востоке Москвы десятки домов остались без электричества.	2627
6454	1	Боевики казнили двух тунисских журналистов, похищенных в Ливии	В Ливии исламисты казнили двух тунисских журналистов	24626
1258	0	Глава католиков Бельгии стоически перенес нападение активисток FEMEN.	Активистки FEMEN облили святой водой главу бельгийских католиков.	1291
2307	1	Хорватия официально вступила в Евросоюз.	Хорватия вступила в Евросоюз.	2513
6695	1	Путин ратифицировал соглашение о поставках газа в Китай	Путин ратифицировал соглашение о поставках газа Китаю по «Силе Сибири»	24880
412	1	Перед зданием посольства США в Анкаре прогремел взрыв.	У посольства США в Анкаре произошел взрыв.	427
3668	0	Волейболисты сборной России в третий раз выиграли Мировую лигу.	Сборная России по волейболу выиграла Мировую лигу.	2868
2193	0	Убийство солдата в Лондоне: обвинен второй подозреваемый.	Второму подозреваемому в убийстве британского солдата предъявили обвинение.	2112
3089	1	Экс-директор Бурейской ГЭС стал фигурантом дела о мошенничестве.	Бывшего директора Бурейской ГЭС заподозрили в мошенничестве.	3362
2741	0	В Москве открывается 35-й Международный кинофестиваль.	Открылся Московский международный кинофестиваль.	2301
53	0	Скончалась старейшая жительница США.	Скончался старейший гражданин США.	87
5783	0	Церемония прощания с Ольгой Аросевой.	В Театре Сатиры простились с Ольгой Аросевой.	3815
51	1	В Подмосковье накрыли сходку криминальных авторитетов.	На сходке криминальных авторитетов в Подмосковье задержаны 23 человека.	53
995	0	Госдеп США назвал проверки в российских НКО охотой на ведьм.	США назвали проверки в российских НКО «охотой на ведьм».	1001
436	1	Пираты освободили корабль, захваченный в Гвинейском заливе.	Пираты освободили захваченное у берегов Камеруна судно.	451
3886	1	В московском метро найден мертвый полицейский.	В московском метро нашли мертвого полицейского.	4209
4094	1	В Госдуме предлагают запретить дистанционную продажу кредитных карт.	Депутаты предложили запретить дистанционную продажу кредиток.	4433
5661	0	Убийцу главного архитектора Всеволожска приговорили к 13 годам.	Киллера приговорили к 13 годам за убийство архитектора из Ленобласти.	3741
2925	0	В Германии объявили охоту на нацистских преступников.	Центр Симона Визенталя объявил новую охоту на нацистских преступников.	2505
1513	1	Дети мигрантов, окончившие российские школы, получат вид на жительство.	Окончившие российскую школу дети мигрантов получат вид на жительство.	1641
6875	0	Во Вьетнаме будут штрафовать за супружеские измены.	Во Вьетнаме увеличили штрафы за супружескую измену.	4318
1416	0	"""ЕР"" порекомендует Чукотке отказаться от губернаторских выборов."	Чукотке рекомендуют отказаться от выборов губернатора.	1490
4165	1	В Сеуле вертолет врезался в небоскреб.	Вертолет врезался в небоскреб в Сеуле.	4506
1801	0	"МИД назвал доклад США о свободе вероисповедания ""опусом"" и ""агиткой""."	МИД назвал доклад Госдепа о свободе вероисповедания «политизированной агиткой».	1867
1022	1	Парламент Кипра утвердил план спасения экономики.	Парламент Кипра одобрил план спасения экономики.	1083
1950	1	Патриарх Кирилл призвал монахов не пользоваться Интернетом.	Патриарх Кирилл призвал монахов отказаться от интернета.	2124
5223	0	Facebook могут заблокировать в России из-за рекламы курительных смесей.	ФАС проверит Facebook из-за рекламы запрещенных курительных смесей.	3538
6666	1	Правительство Непала: шансов найти под завалами выживших больше нет	Власти Непала исключили возможность найти выживших под завалами	24849
1007	1	Ушел из жизни Валерий Золотухин.	Умер Валерий Золотухин.	1068
947	1	В Канаде в дорожной аварии пострадали более 100 человек.	В результате ДТП в Канаде пострадали около ста человек.	1004
2830	1	В Таллине установлен барельеф Бориса Ельцина.	В Таллине открыли барельеф Ельцина.	3092
1015	1	В подмосковном Жуковском начались выборы мэра.	В Жуковском начались выборы мэра.	1076
5704	0	Взрыв у мечети в Кабардино-Балкарии: есть жертвы.	У мечети в Кабардино-Балкарии произошел взрыв.	3772
3211	1	ООН: Сирия присоединилась к Конвенции о запрете химоружия.	Сирия окончательно присоединилась к конвенции о запрете химоружия.	3495
5552	1	Байден: США поставят Израилю новые истребители F-35 в следующем году	США поставят Израилю истребители пятого поколения F-35	7230
4113	1	Saab возобновляет производство автомобилей.	Saab объявил о возобновлении серийного производства автомобилей.	4453
907	0	На Кипре парламент проголосовал против введения налога на депозиты.	Кипрский парламент отклонил налог на банковские депозиты.	907
3663	0	Президентом Пакистана избран лидер мусульманской лиги.	Премьер Пакистана выберет себе президента.	2847
4467	0	Грузия направила ноту протеста в связи с визитом В.Путина в Абхазию.	Грузия ответила на визит Путина дежурной нотой протеста.	3174
4346	0	МВД получило информацию о подготовке протестов после выборов мэра Москвы.	Полиция заявила о подготовке протестных акций после выборов в Москве.	3121
4461	1	Журнал Time признал Человеком года Папу Римского.	Папа Франциск стал человеком года по версии Time.	4820
35	1	В Германии начался процесс по делу российских шпионов - супругов Аншлаг.	В Германии начался процесс над российскими шпионами.	37
3957	1	"""Ростелеком"" заблокировал часть ресурсов ""ВКонтакте""."	«Ростелеком» объявил о частичной блокировке «ВКонтакте».	4285
3510	1	На Кубани задержан подозреваемый в убийстве священника.	Задержан подозреваемый в убийстве священника на Кубани.	3819
1719	1	В ходе столкновений на гей-параде в Тбилиси пострадали 17 человек.	В Тбилиси во время гей-акции пострадали 17 человек.	1870
3922	0	Супруги в США признаны виновными в изнасиловании приемных детей из СНГ.	Американцев признали виновными в изнасиловании детей из Казахстана.	2951
1332	1	В Петербурге в период разведения мостов пустят ночной поезд метро.	В Петербурге пустят ночной поезд под разведенными мостами.	1436
4110	0	Сербия неожиданно сняла арест с имущества Б.Березовского.	В Сербии сняли арест с якобы принадлежавших Березовскому активов.	3040
2946	0	Пляжи Севастополя закроют из-за авиабомбы времен ВОВ.	Пляжи Севастополя закроют из-за немецкой авиабомбы.	2538
5878	1	Жертвами схода лавины на Эвересте стали 65 человек	На Эвересте от схода лавины погибли 65 альпинистов	24012
6721	1	Скончалась балерина Майя Плисецкая	"Ушла из жизни ""рожденная танцевать"" Майя Плисецкая"	24907
6540	1	X5 Retail Group купила у Александра Мамута сеть Spar	X5 Retail Group приобрела сеть магазинов Spar	24713
1264	1	"РПЦ предупредила россиян об опасности секты ""бога Кузи""."	РПЦ предупредила о деструктивной «секте бога Кузи».	1357
5	0	Полицейским разрешат стрелять на поражение по гражданам с травматикой.	Полиции могут разрешить стрелять по хулиганам с травматикой.	1
2573	0	В Сети появился русский трейлер к фильму Ридли Скотта «Советник».	Русский трейлер «Советника» Ридли Скотта появился раньше английского.	2253
6108	1	Семь человек погибли при обрушении пешеходного моста в Нигерии	Семь человек погибли из-за обрушения пешеходного моста в Нигерии	24256
6223	1	Нацгвардия Мэриленда приведена в готовность из-за ситуации в Балтиморе	В Мэриленде из-за беспорядков привели в готовность Нацгвардию	24381
1967	1	"Гран-при ""Кинотавра"" получил фильм ""Географ глобус пропил""."	Главный приз «Кинотавра» получил фильм «Географ глобус пропил».	2142
622	1	Скончался основатель рок-группы Soft Machine.	Скончался основатель британской рок-группы Soft Machine.	651
5243	1	Полиция разогнала вечеринку в честь дня рождения Гитлера в Москве	Полиция Москвы разогнала вечеринку в честь дня рождения Гитлера	6719
4805	0	Сергей Полонский стал подданным Камбоджи.	Сергей Полонский получил подданство Камбоджи.	3413
26	1	Новые комиксы о пророке Мухаммеде появились во Франции.	Во Франции издали комикс по мотивам жизни пророка Мухаммада.	27
6730	1	Неизвестные сожгли машины и магазин в мексиканском Халиско	Неизвестные сожгли автомобили и магазин в мексиканском городе-курорте	24917
1054	1	Главаря преступной банды Сергея Цапка лишили научной степени.	Сергея Цапка лишили степени кандидата наук.	1116
1383	1	Над Сирией обстрелян российский пассажирский самолет.	Над Сирией обстреляли российский пассажирский самолет.	1495
6138	1	Эмма Стоун может сняться в российском фильме о Нюрнбергском процессе	Эмму Стоун позвали сниматься в российский фильм о Нюрнбергском процессе	24289
227	1	"""Снежную битву"" в Петербурге вновь запретили."	"В Санкт-Петербурге повторно запретили ""Снежную битву""."	233
477	0	Стивен Спилберг возглавит жюри 66-го Каннского кинофестиваля.	Стивен Спилберг возглавит жюри Каннского фестиваля.	649
1671	0	"Отставку ректора РЭШ связали с ""делом ЮКОСа""."	Возможную отставку Гуриева связали с делом Ходорковского.	1770
269	1	Fitch: Продажи Газпрома в Европе сократятся из-за слабой экономики.	"Fitch предсказало ""Газпрому"" сокращение продаж в Европе."	280
2188	0	Самый титулованный российский велогонщик объявил о завершении карьеры.	Самый титулованный российский велогонщик ушел из спорта.	2052
6588	0	"""Спартак"" сыграет с ""Тереком"" в Екатеринбурге."	"""Спартак"" примет ""Терек"" в Екатеринбурге."	4123
951	0	Венесуэла объявила семидневный траур по Уго Чавесу.	В Венесуэле объявлен семидневный траур.	962
4813	0	В США суд признал кнопку Like формой свободы слова.	Кнопку «Нравится» признали частью свободы слова.	3415
6279	1	Facebook запустила функцию видеозвонков в Messenger	В Facebook Messenger добавили видеозвонки	24441
256	1	Волгоград на несколько дней переименуют в Сталинград.	Волгоград в памятные дни станет Сталинградом.	266
1386	0	Напавший на футболиста чеченский судья пожизненно отстранен от работы.	Избивший футболиста чеченский арбитр пожизненно отстранен от судейства.	1470
5684	1	Минприроды направило заявку на расширение Арктического шельфа	Заявка на расширение Арктического шельфа направлена на согласование	23799
2195	0	На Тайване и Филиппинах произошло мощное землетрясение.	На Тайване произошло сильное землетрясение.	2115
6246	0	В Госдуму внесли законопроект о страховании пенсий.	Правительство внесло в Госдуму три законопроекта о будущей пенсионной реформе.	3936
6935	0	Дело об убийстве в Петербурге замглавы тверской полиции раскрыто.	Задержан подозреваемый в убийстве замглавы тверской полиции.	4336
49	0	Шесть моряков с перевернувшегося в Японском море судна погибли.	В Японском море найдены тела шести погибших моряков с «Шанса-101».	84
3908	0	Twitter отчитался о росте правительственных запросов с начала 2013г.	Twitter рассказал о росте числа правительственных запросов.	2947
2763	1	Роберт Мугабе переизбран президентом Зимбабве.	Мугабе победил на президентских выборах в Зимбабве.	3023
3482	0	Мосгорсуд вторично рассмотрит дело о взрывах у ФСБ спустя 10 лет.	Мосгорсуд пересмотрит дело о взрывах у приемной ФСБ.	2753
103	0	Смольный опровергает разрыв отношений с Венецией.	Мэр Венеции опроверг разрыв отношений с Санкт-Петербургом.	198
2179	1	"""Бой идет не ради славы"": В Москве открыли памятник А.Твардовскому."	В Москве открыли памятник Твардовскому.	2381
4011	0	При взрыве в Луганске погибли два человека, 17 пострадали.	В Луганске от взрыва газа в жилом доме погибли двое.	2982
4036	1	СМИ: Фигурант дела о хищении маткапитала признал свою вину.	Фигурант дела о хищении материнского капитала признал свою вину.	4370
418	0	HTC представила смартфон с необычной камерой.	HTC представила смартфон с «ультрапиксельной» камерой.	580
6277	1	Глава Крыма облетел сельхозугодья республики на воздушном шаре	Аксенов облетел крымские поля на воздушном шаре	24439
2116	0	"На ""Почту России"" завели 13 дел за завалы корреспонденции."	Прокуратура завела 13 дел на «Почту России».	1964
595	1	"Правоохранители возбудили уголовное дело по ""Зенит-Арене""."	В связи со строительством стадиона «Зенит» возбудили уголовное дело.	619
1272	0	"Следователи проводят обыски в фонде ""Сколково""."	В московский офис фонда «Сколково» пришли с обыском.	1325
